Name,Href,Birthday,Debut,Position,Team
Anthony Bemboom,/players/b/bemboan01.shtml,"['January 18', '1990']","['\n    May 12, 2019\n    ']",['\n    Catcher\n  \n'],['Detroit Tigers']
Anthony Bender,/players/b/bendean01.shtml,"['February 3', '1995']","['\n    May 5, 2021\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Andrew Benintendi,/players/b/beninan01.shtml,"['July 6', '1994']","['\n    August 2, 2016\n    ']",['\n    Leftfielder\n  \n'],['Chicago White Sox']
Will Benson,/players/b/bensowi01.shtml,"['June 16', '1998']","['\n    August 1, 2022\n    ']",['\n    Outfielder\n  \n'],['Cincinnati Reds']
Wynton Bernard,/players/b/bernawy01.shtml,"['September 24', '1990']","['\n    August 12, 2022\n    ']",['\n    Centerfielder\n  \n'],['Chicago White Sox']
Brennan Bernardino,/players/b/bernabr01.shtml,"['January 15', '1992']","['\n    July 31, 2022\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
José Berríos,/players/b/berrijo01.shtml,"['May 27', '1994']","['\n    April 27, 2016\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Prelander Berroa,/players/b/berropr01.shtml,"['April 18', '2000']","['\n    July 21, 2023\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Jon Berti,/players/b/bertijo01.shtml,"['January 22', '1990']","['\n    September 26, 2018\n    ']","['\n    Third Baseman, Second Baseman and Shortstop\n  \n']",['New York Yankees']
Christian Bethancourt,/players/b/bethach01.shtml,"['September 2', '1991']","['\n    September 29, 2013\n    ']",['\n    Catcher and First Baseman\n  \n'],['Miami Marlins']
Mookie Betts,/players/b/bettsmo01.shtml,"['October 7', '1992']","['\n    June 29, 2014\n    ']",['\n    Rightfielder and Second Baseman\n  \n'],['Los Angeles Dodgers']
Tanner Bibee,/players/b/bibeeta01.shtml,"['March 5', '1999']","['\n    April 26, 2023\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Bo Bichette,/players/b/bichebo01.shtml,"['March 5', '1998']","['\n    July 29, 2019\n    ']",['\n    Shortstop\n  \n'],['Toronto Blue Jays']
Phil Bickford,/players/b/bickfph01.shtml,"['July 10', '1995']","['\n    September 1, 2020\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Osvaldo Bido,/players/b/bidoos01.shtml,"['October 18', '1995']","['\n    June 14, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Shane Bieber,/players/b/biebesh01.shtml,"['May 31', '1995']","['\n    May 31, 2018\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Brandon Bielak,/players/b/bielabr01.shtml,"['April 2', '1996']","['\n    July 27, 2020\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Cavan Biggio,/players/b/biggica01.shtml,"['April 11', '1995']","['\n    May 24, 2019\n    ']","['\n    Second Baseman, Rightfielder and Third Baseman\n  \n']",['Toronto Blue Jays']
Jake Bird,/players/b/birdja01.shtml,"['December 4', '1995']","['\n    June 16, 2022\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Ty Blach,/players/b/blachty01.shtml,"['October 20', '1990']","['\n    September 5, 2016\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Paul Blackburn,/players/b/blackpa01.shtml,"['December 4', '1993']","['\n    July 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Charlie Blackmon,/players/b/blackch02.shtml,"['July 1', '1986']","['\n    June 7, 2011\n    ']",['\n    Outfielder\n  \n'],['Colorado Rockies']
Dairon Blanco,/players/b/blancda02.shtml,"['April 26', '1993']","['\n    May 20, 2022\n    ']",['\n    Outfielder and Pinch Runner\n  \n'],['Kansas City Royals']
Ronel Blanco,/players/b/blancro01.shtml,"['August 31', '1993']","['\n    April 8, 2022\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Alex Blandino,/players/b/blandal01.shtml,"['November 6', '1992']","['\n    April 10, 2018\n    ']","['\n    Pinch Hitter, Second Baseman and Third Baseman\n  \n']",[]
Travis Blankenhorn,/players/b/blanktr01.shtml,"['August 3', '1996']","['\n    September 15, 2020\n    ']","['\n    Pinch Hitter, Leftfielder and Second Baseman\n  \n']",['Washington Nationals']
JJ Bleday,/players/b/bledajj01.shtml,"['November 10', '1997']","['\n    July 23, 2022\n    ']",['\n    Outfielder\n  \n'],['Oakland Athletics']
Richard Bleier,/players/b/bleieri01.shtml,"['April 16', '1987']","['\n    May 30, 2016\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Scott Blewett,/players/b/blewesc01.shtml,"['April 10', '1996']","['\n    September 18, 2020\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Xander Bogaerts,/players/b/bogaexa01.shtml,"['October 1', '1992']","['\n    August 20, 2013\n    ']",['\n    Shortstop and Third Baseman\n  \n'],['San Diego Padres']
Alec Bohm,/players/b/bohmal01.shtml,"['August 3', '1996']","['\n    August 13, 2020\n    ']",['\n    Third Baseman and First Baseman\n  \n'],['Philadelphia Phillies']
Skye Bolt,/players/b/boltsk01.shtml,"['January 15', '1994']","['\n    May 3, 2019\n    ']",['\n    Centerfielder\n  \n'],['Atlanta Braves']
Cody Bolton,/players/b/boltoco01.shtml,"['June 19', '1998']","['\n    April 29, 2023\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Ryan Borucki,/players/b/borucry01.shtml,"['March 31', '1994']","['\n    June 26, 2018\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
David Bote,/players/b/boteda01.shtml,"['April 7', '1993']","['\n    April 21, 2018\n    ']",['\n    Third Baseman and Second Baseman\n  \n'],['Chicago Cubs']
Sean Bouchard,/players/b/bouchse01.shtml,"['May 16', '1996']","['\n    June 19, 2022\n    ']",['\n    Leftfielder\n  \n'],['Colorado Rockies']
Caleb Boushley,/players/b/boushca01.shtml,"['October 1', '1993']","['\n    September 29, 2023\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Ben Bowden,/players/b/bowdebe01.shtml,"['October 21', '1994']","['\n    April 2, 2021\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Jonathan Bowlan,/players/b/bowlajo01.shtml,"['December 1', '1996']","['\n    September 27, 2023\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Matt Bowman,/players/b/bowmama01.shtml,"['May 31', '1991']","['\n    April 6, 2016\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Joe Boyle,/players/b/boylejo01.shtml,"['August 14', '1999']","['\n    September 17, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Silvino Bracho,/players/b/brachsi01.shtml,"['July 17', '1992']","['\n    August 30, 2015\n    ']",['\n    Pitcher\n  \n'],[]
Cody Bradford,/players/b/bradfco01.shtml,"['February 22', '1998']","['\n    May 15, 2023\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Kyle Bradish,/players/b/bradiky01.shtml,"['September 12', '1996']","['\n    April 29, 2022\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Taj Bradley,/players/b/bradlta01.shtml,"['March 20', '2001']","['\n    April 12, 2023\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Rob Brantly,/players/b/brantro01.shtml,"['July 14', '1989']","['\n    August 14, 2012\n    ']",['\n    Catcher\n  \n'],['Tampa Bay Rays']
Matt Brash,/players/b/brashma01.shtml,"['May 12', '1998']","['\n    April 12, 2022\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Ryan Brasier,/players/b/brasiry01.shtml,"['August 26', '1987']","['\n    May 2, 2013\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Huascar Brazobán,/players/b/brazohu01.shtml,"['October 15', '1989']","['\n    July 24, 2022\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
John Brebbia,/players/b/brebbjo01.shtml,"['May 30', '1990']","['\n    May 28, 2017\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Alex Bregman,/players/b/bregmal01.shtml,"['March 30', '1994']","['\n    July 25, 2016\n    ']",['\n    Third Baseman and Shortstop\n  \n'],['Houston Astros']
Will Brennan,/players/b/brennwi02.shtml,"['February 2', '1998']","['\n    September 21, 2022\n    ']",['\n    Rightfielder\n  \n'],['Cleveland Guardians']
